eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
42.55,-0.6700000166893005,1245.0,0.004585915245115757,0.0264892578125,2.703930616378784,-0.002812376245856285,1.7753149271011353,-0.657091498374939,1.0,256.0,6.578325400000001,8192.0
39.68,-0.7900000214576721,2166.0,0.0013802195899188519,0.0061848959885537624,2.6898326873779297,-0.0003005154139827937,0.23469595611095428,0.0817955732345581,10.0,2560.0,41.6611432,81920.0
37.9,-0.7099999785423279,2227.0,0.002992029534652829,0.02095540426671505,2.6583590507507324,-0.00209541036747396,0.16561143100261688,0.329919695854187,20.0,5120.0,78.9159802,163840.0
35.17,-0.7099999785423279,2171.0,0.004417956341058016,0.0419514961540699,2.587890863418579,-0.0035647281911224127,0.10773374885320663,0.5580600500106812,30.0,7680.0,116.72895460000001,245760.0
36.82,-0.14000000059604645,2192.0,0.012928418815135956,0.16015625,2.543813467025757,-0.0037606507539749146,0.10487145185470581,0.43786942958831787,40.0,10240.0,154.47213969999999,327680.0
34.89,0.27000001072883606,2163.0,0.011045419611036777,0.1341552734375,2.5504672527313232,-0.0026573550421744585,0.04155407100915909,0.4158516526222229,50.0,12800.0,192.8035358,409600.0
35.04,0.3100000023841858,2163.0,0.013271152973175049,0.162109375,2.4702584743499756,-0.003656069515272975,0.03553364798426628,0.5305335819721222,60.0,15360.0,230.8479711,491520.0
39.12,0.4099999964237213,149.0,0.015533569268882275,0.1897379606962204,2.4805960655212402,-0.005972166080027819,0.059087201952934265,0.5794998705387115,70.0,17920.0,320.2775783,573440.0
38.28,0.4699999988079071,2195.0,0.014169606380164623,0.1621500700712204,2.3942298889160156,-0.006334563717246056,0.0839635357260704,0.6354082226753235,80.0,20480.0,357.5161397,655360.0
39.27,0.4399999976158142,2168.0,0.013801357708871365,0.1719156950712204,2.4606029987335205,-0.005935994442552328,0.10806990414857864,0.4677450656890869,90.0,23040.0,395.6069996,737280.0
37.79,0.550000011920929,2218.0,0.014822256751358509,0.1647542268037796,2.423137664794922,-0.004570623394101858,0.041269149631261826,0.8040320724248886,100.0,25600.0,432.93623709999997,819200.0
37.05,0.6499999761581421,2191.0,0.014922727830708027,0.177490234375,2.433098554611206,-0.0036344295367598534,0.06316357105970383,0.7590397149324417,110.0,28160.0,470.1460273,901120.0
38.17,0.6399999856948853,2178.0,0.014421310275793076,0.1768798828125,2.4249703884124756,-0.0063074915669858456,0.026009082794189453,0.8210872560739517,120.0,30720.0,508.02809569999994,983040.0
