eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
36.68,-0.3700000047683716,152.0,0.0012042480520904064,0.0007731119985692203,2.706857442855835,-0.0011108046164736152,0.27241846919059753,-0.005252480506896973,1.0,256.0,53.564925900000006,8192.0
39.65,-0.44999998807907104,627.0,0.0004493471060413867,0.0,2.6721689701080322,-0.000597356294747442,0.16895292699337006,0.009543120861053467,10.0,2560.0,174.7681013,81920.0
42.45,-1.0800000429153442,614.0,0.0015905946493148804,0.0038655598182231188,2.6210572719573975,-0.0011599157005548477,0.2577989101409912,-0.010068058967590332,20.0,5120.0,307.96292270000004,163840.0
40.38,-0.5099999904632568,605.0,0.001093127066269517,0.0006510416860692203,2.583568811416626,-0.0005997060216031969,0.19072933495044708,-0.00400853157043457,30.0,7680.0,442.50133270000003,245760.0
39.83,-0.5299999713897705,637.0,0.0020376478787511587,0.0048014321364462376,2.568657159805298,-0.001900693983770907,0.17870871722698212,0.04056262969970703,40.0,10240.0,577.9554246,327680.0
41.34,-0.5400000214576721,580.0,0.005375770851969719,0.060791015625,2.5416343212127686,-0.0012201200006529689,0.13221850991249084,0.0805732011795044,50.0,12800.0,708.869465,409600.0
37.91,-0.3499999940395355,543.0,0.0027150323148816824,0.016845703125,2.4927189350128174,-0.0015684146201238036,0.16513846814632416,0.07978719472885132,60.0,15360.0,850.0460615999999,491520.0
40.41,-0.20999999344348907,47.0,0.0038569560274481773,0.0428059883415699,2.487457036972046,-0.003816126612946391,0.11926195025444031,0.23766613006591797,70.0,17920.0,1147.8441487,573440.0
40.82,-0.15000000596046448,605.0,0.006216028705239296,0.0664469376206398,2.523744821548462,-0.0035452693700790405,0.0796409323811531,0.34511494636535645,80.0,20480.0,1290.0727082,655360.0
37.31,0.019999999552965164,583.0,0.005827874410897493,0.05859375,2.513526201248169,-0.005732525140047073,0.06896626204252243,0.3345131278038025,90.0,23040.0,1436.2801249000001,737280.0
38.1,0.12999999523162842,549.0,0.013866916298866272,0.1222330704331398,2.530174493789673,-0.0035700248554348946,0.0871078297495842,0.32852494716644287,100.0,25600.0,1580.9490811,819200.0
36.08,0.23000000417232513,589.0,0.006842654198408127,0.0692138671875,2.4736433029174805,-0.00541077321395278,0.050661783665418625,0.3469289541244507,110.0,28160.0,1723.7932262000002,901120.0
36.36,0.33000001311302185,585.0,0.009700325317680836,0.0821940079331398,2.4776713848114014,-0.0024594913702458143,0.04776943847537041,0.4733034372329712,120.0,30720.0,1866.2912791,983040.0
