eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
39.13,-0.6000000238418579,148.0,0.0005565968458540738,0.0,2.7074661254882812,-0.0006221531075425446,0.5736426711082458,-0.01841104030609131,1.0,256.0,55.16557680000001,8192.0
40.42,-0.6399999856948853,593.0,0.002655459800735116,0.0123291015625,2.5089643001556396,-0.0020680062007158995,0.15906591713428497,0.02448296546936035,10.0,2560.0,177.26930980000003,81920.0
40.13,-0.6000000238418579,612.0,0.00107919133733958,0.0001220703125,2.54288911819458,-0.0010636505903676152,0.22235709428787231,0.014381945133209229,20.0,5120.0,312.92067690000005,163840.0
39.09,-0.41999998688697815,601.0,0.0011852852767333388,0.00032552084303461015,2.514312982559204,-0.00076846475712955,0.14222633838653564,0.27775484323501587,30.0,7680.0,448.7369346,245760.0
40.45,-0.20999999344348907,608.0,0.0032884881366044283,0.02986653707921505,2.433061122894287,-0.004349725786596537,0.10789477080106735,0.5281399488449097,40.0,10240.0,584.0279666,327680.0
41.06,-0.3400000035762787,596.0,0.0055419583804905415,0.0541585274040699,2.4612534046173096,-0.0029158887919038534,0.12438875436782837,0.41641348600387573,50.0,12800.0,720.0323589999999,409600.0
42.17,-0.07000000029802322,598.0,0.006432592403143644,0.07080078125,2.4512898921966553,-0.005703280214220285,0.10271859169006348,0.3117462396621704,60.0,15360.0,855.4728402999999,491520.0
35.32,0.10000000149011612,624.0,0.006013916339725256,0.0594889335334301,2.515932083129883,-0.0035898250062018633,0.08303021639585495,0.3623719811439514,70.0,17920.0,990.9000043,573440.0
36.49,0.2199999988079071,596.0,0.006717493291944265,0.0729166641831398,2.5174882411956787,-0.004987693857401609,0.07565774768590927,0.4089938998222351,80.0,20480.0,1128.3616115,655360.0
37.46,0.36000001430511475,616.0,0.00799666065722704,0.0900065079331398,2.4885635375976562,-0.007395616266876459,0.044288571923971176,0.6664843857288361,90.0,23040.0,1264.1378855,737280.0
38.02,0.33000001311302185,584.0,0.01345303189009428,0.1419677734375,2.423283815383911,-0.005224239081144333,0.05583405867218971,0.6379970610141754,100.0,25600.0,1400.7020769,819200.0
36.25,0.5299999713897705,610.0,0.012332313694059849,0.1113688126206398,2.433950185775757,-0.00515902740880847,0.0576922632753849,0.7450789511203766,110.0,28160.0,1535.6724246,901120.0
36.39,0.36000001430511475,618.0,0.014586939476430416,0.1300455778837204,2.4640209674835205,-0.008135908283293247,0.09661304950714111,0.5627503097057343,120.0,30720.0,1672.6025058,983040.0
