eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
35.69,-0.5099999904632568,1097.0,0.010057076811790466,0.1112874373793602,2.6982786655426025,-0.0023936028592288494,0.3106618821620941,-0.0001634359359741211,1.0,256.0,7.4627780999999995,8192.0
39.22,-0.5600000023841858,2153.0,0.004077241290360689,0.0475667305290699,2.6474480628967285,-0.001849435386247933,0.23064421117305756,0.05587589740753174,10.0,2560.0,42.2765542,81920.0
41.88,-0.6100000143051147,2221.0,0.005712086334824562,0.0524495430290699,2.5580027103424072,-0.003008991712704301,0.14514727890491486,0.13954198360443115,20.0,5120.0,79.7917936,163840.0
41.58,-0.3199999928474426,2195.0,0.004621721338480711,0.02852376364171505,2.4993443489074707,-0.0019152291351929307,0.16492341458797455,0.2933886647224426,30.0,7680.0,116.8045446,245760.0
39.91,-0.5099999904632568,2202.0,0.003580014454200864,0.03072102926671505,2.4412224292755127,-0.0016177367651835084,0.13378643989562988,0.4738900065422058,40.0,10240.0,154.2210967,327680.0
40.81,-0.44999998807907104,2160.0,0.006104697939008474,0.0515543632209301,2.3732995986938477,-0.003167371265590191,0.10782801359891891,0.5496428310871124,50.0,12800.0,191.7679439,409600.0
40.32,-0.4699999988079071,2210.0,0.004171441774815321,0.0347900390625,2.34525990486145,-0.0016593182226642966,0.11422257870435715,0.45514851808547974,60.0,15360.0,229.2013878,491520.0
45.08,-0.33000001311302185,2178.0,0.003205854445695877,0.0283203125,2.345865488052368,-0.001789777190424502,0.09864652901887894,0.4955891966819763,70.0,17920.0,266.7686498,573440.0
38.21,-0.23999999463558197,2211.0,0.005085569806396961,0.0605061836540699,2.401500701904297,-0.003082569921389222,0.10987728089094162,0.45191097259521484,80.0,20480.0,304.0826325,655360.0
40.91,-0.12999999523162842,2179.0,0.0059636966325342655,0.0727945938706398,2.382355213165283,-0.003512308234348893,0.10104683041572571,0.368100643157959,90.0,23040.0,341.3513612,737280.0
37.83,-0.3499999940395355,2149.0,0.006667803507298231,0.0696207657456398,2.4000115394592285,-0.0015982658369466662,0.11451176553964615,0.48895806074142456,100.0,25600.0,379.97925289999995,819200.0
38.67,-0.17000000178813934,2208.0,0.00836899783462286,0.1005859375,2.320596933364868,-0.005585305858403444,0.07883711904287338,0.41868239641189575,110.0,28160.0,417.76577289999994,901120.0
39.69,-0.05000000074505806,2175.0,0.009262525476515293,0.1116943359375,2.3436429500579834,-0.0009234431199729443,0.13032834231853485,0.4472598433494568,120.0,30720.0,455.00112229999996,983040.0
