eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
43.23,-1.0199999809265137,482.0,0.0019175875931978226,0.0,2.706148386001587,-0.0019277221290394664,0.3161744773387909,-0.04575777053833008,1.0,256.0,16.9633025,8192.0
41.37,-0.6899999976158142,1483.0,0.00045082636643201113,0.0,2.62939715385437,-0.0002914807992056012,0.21108786761760712,-0.0012108087539672852,10.0,2560.0,65.66410830000001,81920.0
37.25,-0.6000000238418579,1514.0,0.001730739721097052,0.02193196676671505,2.5398507118225098,-0.0017275050049647689,0.2024010270833969,-0.002173304557800293,20.0,5120.0,119.8880456,163840.0
37.8,-0.6499999761581421,1506.0,0.00031947821844369173,0.0,2.5525686740875244,-8.556064130971208e-05,0.18396598100662231,-0.0017840862274169922,30.0,7680.0,174.5440309,245760.0
38.79,-0.5799999833106995,1525.0,0.001384424977004528,0.0,2.4752166271209717,-0.0007000818732194602,0.1526411920785904,-0.001857161521911621,40.0,10240.0,228.5217245,327680.0
46.0,-0.47999998927116394,1495.0,0.0017102916026487947,0.0057779946364462376,2.523319959640503,-0.0018453848315402865,0.17550571262836456,-0.0005434751510620117,50.0,12800.0,282.9736863,409600.0
42.01,-0.4300000071525574,1517.0,0.0009053652174770832,0.0072021484375,2.5104944705963135,-0.0010419137543067336,0.1610666811466217,-0.0005930662155151367,60.0,15360.0,337.3057784,491520.0
43.78,-0.30000001192092896,1507.0,0.0013615181669592857,0.0,2.458897829055786,-0.0008366517722606659,0.13161903619766235,-0.0005118846893310547,70.0,17920.0,391.4251886,573440.0
39.05,-0.7400000095367432,1484.0,0.0009068849612958729,0.0,2.4182069301605225,-0.0006634125602431595,0.18924610316753387,-0.0006653070449829102,80.0,20480.0,445.9025843,655360.0
44.48,-0.6399999856948853,1507.0,0.0008565329480916262,0.0,2.4345593452453613,-0.000598947808612138,0.16229113936424255,-0.0002048015594482422,90.0,23040.0,500.1446574,737280.0
40.86,-0.2199999988079071,1491.0,0.0013919799821451306,0.0,2.456231117248535,-0.0004883204237557948,0.13154169917106628,-0.00047588348388671875,100.0,25600.0,554.5275608,819200.0
40.61,-0.5400000214576721,1541.0,0.0009566158405505121,0.0,2.4030606746673584,-0.0005315673188306391,0.17856836318969727,-0.0006115436553955078,110.0,28160.0,608.3681671,901120.0
38.15,-0.36000001430511475,1531.0,0.00046214755275286734,0.0030924479942768812,2.4726994037628174,-0.0002397839562036097,0.16590765118598938,-0.000629425048828125,120.0,30720.0,662.8470837,983040.0
