eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
77.17,-2.549999952316284,37.0,0.00016857129230629653,0.0,2.707881212234497,-0.0004347040085121989,0.3056303560733795,-0.006002306938171387,1.0,256.0,438.7325227,16384.0
83.72,-3.0999999046325684,32.0,9.491088712820783e-05,0.0,2.707643747329712,-0.00019424517813604325,0.15620194375514984,0.02748626470565796,2.0,512.0,940.2948091,32768.0
86.45,-2.5999999046325684,33.0,9.134390711551532e-05,0.0,2.7074403762817383,-0.00024427150492556393,0.149838387966156,0.029483139514923096,3.0,768.0,1434.7583746999999,49152.0
87.53,-3.319999933242798,37.0,0.00026945615536533296,0.0,2.706583261489868,-0.0005822617677040398,0.1552283763885498,0.06759703159332275,4.0,1024.0,1867.9864549,65536.0
87.64,-2.9100000858306885,45.0,0.0009003282175399363,0.00042724609375,2.7028543949127197,-0.0010501038050279021,0.16666410863399506,0.10172420740127563,5.0,1280.0,2228.5502213,81920.0
80.05,-2.299999952316284,61.0,0.0005993062513880432,2.0345052689663135e-05,2.699763298034668,-0.000841332133859396,0.12027003616094589,0.19256901741027832,6.0,1536.0,3120.7305316,98304.0
